,0,1
20,Gannett may earn revenue from audience referrals to betting services.  Newsrooms are independent of this relationship and there is no influence on news coverage.,13
21,Sign up for the USA TODAY Sportsbook Wire newsletter to get our top stories in your inbox every morning,14
22,"The Oregon Ducks (20-7, 9-5 Pac-12) travel to meet the Arizona Wildcats (19-7, 9-5 Pac-12) at McKale Memorial Center in Tucson at 9 p.m. ET Saturday. We analyze the Oregon-Arizona odds and betting lines, while providing college basketball betting tips and advice on this matchup.",15
23,"The Ducks are ranked 16th in the USA TODAY Sports men’s basketball coaches poll. The Wildcats are ranked 21st.
Oregon at Arizona: Three things you need to know
1. Arizona is two full games back of first-place Colorado, while Oregon sits in a three-way tie with Arizona State and UCLA for third at 2...",16
24,"The Gonzaga Bulldogs (27-1, 13-0 WCC) head south to battle the BYU Cougars (22-7, 11-3 WCC) at Marriott Center in Provo, Utah at 10 p.m. ET Saturday. We analyze the Gonzaga-BYU odds and betting lines, while providing college basketball betting tips and advice on this matchup.",17
25,"The Bulldogs are ranked 2nd in the USA TODAY Sports men’s basketball coaches poll.
Gonzaga at BYU: Three things you need to know
1. Gonzaga stumbled to a season-low 71 points last time out, but the Bulldogs still topped San Francisco 71-54 while narrowly covering the 16.5-point number. The Bulldogs showed that even...",18
26,"The Houston Cougars (21-6) visit the Memphis Tigers (18-8) in a Saturday matinee at FedExForum. Tip-off will be shortly after 2 p.m. ET. We analyze the Houston-Memphis odds and betting lines, with college basketball betting advice and tips around this matchup.
Houston at Memphis: Three things you need to know
1. Houston is 3-3 over its last six road games. The No. 22-ranked team in the nation (USA Today Sports Coaches Poll) has, for the season, been solid away from home. Defensive metrics -- especially field-goal defense and free-throw rate allowed -- have slipped the most when UH...",19
27,"



",20
28,"
				© Copyright USA TODAY Sportsbook Wire 2020",21
29,USA TODAY Sportsbook Wire is proudly owned and operated by,22
30,"



",23
31,Powered by WordPress.com VIP,24
32,"
			Please enter an email address.		",25
33,Thanks for signing up.,26
34,Please check your email for a confirmation.,27
35,"
			Something went wrong.		",28
36,More,1
37,More,2
38,Columnists,3
39,"
    
        
    Raptors plan to expand Siakam’s offensive role preparing for playoffs
",4
40,"
    
        
    Raptors take aim at first place coming out of all-star break
",5
41,,6
42,TSN on Twitter,7
43,"        
                        12h ago
            
",8
44,"
",9
45,The Canadian Press,10
46,"                        Steven Adams
                    , The Canadian Press",11
47,"OKLAHOMA CITY — Chris Paul lectured his teammates on the importance of handling their business after the All-Star break, then he showed them how to do it.",12
48,Paul scored 29 points to help the Oklahoma City Thunder beat the Denver Nuggets 113-101 on Friday night.,13
49,The Thunder entered the night sixth in the Western Conference standings. Paul believes Oklahoma City should have a sense of urgency about finishing higher.,14
50,"“Some teams try to warm up into it,"" Paul said. ""We don't got that benefit. We've got to come out, 20-something games left — it's the homestretch.”",15
51,"Steven Adams had 19 points and 17 rebounds, and Shai Gilgeous-Alexander added 11 points, nine rebounds and nine assists for the Thunder. They have won 11 of their past 14 games.",16
52,"The Thunder had seven players score in double figures. Once again, the point guard trio of Paul, Gilgeous-Alexander and Dennis Schroder set the tone.",17
53,"“If you guys had mics on us, you'd see that we are all each other's biggest cheerleaders,"" Paul said. ""I've seen teams where guys aren't necessarily rooting for each other. They want you to do bad so they can be in the game. We're not like that, and it's refreshing and nice to see.”",18
54,Nikola Jokic scored 32 points on 12-for-15 shooting and Jamal Murray had 21 points for the Nuggets. They entered the night with the second-best record in the Western Conference.,19
55,Oklahoma City scored 25 points off Denver's 19 turnovers.,20
56,"“We didn't take care of the ball,” Denver coach Michael Malone said. “That was a huge issue that happened all night long. We didn't value the ball for 48 minutes.”",21
57,"Paul banked in a shot and was fouled with 2.7 seconds left in the first half to tie it, but missed the free throw and the score remained 48-all at halftime.",22
58,"The Thunder opened the second half on a 9-1 run that forced the Nuggets to call a timeout. Denver responded, and a 10-0 run cut Oklahoma City's lead to 60-59.",23
59,A steal and dunk by Oklahoma City's Luguentz Dort sent the floor cleanup crew scrambling and gave the Thunder a 66-61 lead.,24
60,"“I can't say enough about Lu,” Paul said. ""He makes all the plays that nobody else would. That steal he got - I just thought about it. And that dunk.”",25
61,"Paul was fouled on a made 3-pointer, and his free throw put Oklahoma City up 72-65. The Thunder took a 78-77 edge into the fourth quarter.",26
62,"Oklahoma City, as it has done so often this season, took over in the final period. A dunk by Nerlens Noel on a lob from Schroder put the Thunder up 95-85. A dunk by Adams gave Oklahoma City a 109-97 edge with just under two minutes remaining.",27
63,"Adams scored 10 points in the fourth quarter, one of eight Thunder players to score in the period.",28
64,"“If you got it going, we're going to get it to them,"" Paul said. “And we just take what's open.”",29
65,TIP-INS,30
66,Nuggets: Missed all seven of their 3-point attempts in the first quarter and made just 6 of 27 overall. ... Made 31 of 50 shots inside the 3-point line and 21 of 23 free throws.,31
67,Thunder: Dort made the first 3-pointer by either team more than eight minutes into the game. ... Former University of Oklahoma tight end Blake Bell of the Super Bowl champion Kansas City Chiefs attended the game. ... F Danilo Gallinari was called for a flagrant 1 in the second quarter.,32
68,QUOTABLE,33
69,"Paul, on committing seven of Oklahoma City's 12 turnovers: “How many did we have? I probably had seven or eight. I had more than half of them. I've got to be better.”",34
70,GRANT'S RECEPTION,35
71,Former Thunder player Jerami Grant received a nice ovation from the crowd when he checked into the game in the first quarter. Oklahoma City traded the forward to Denver this past summer.,36
72,"“I thought it was great,” Grant said. “I love the fans here. Got a bunch of great memories here. I think it was definitely good.”",37
73,STAT LINES,38
74,The Thunder have had the best record in the Western Conference since Dec. 18. The 21-8 record comes out to a .724 winning percentage.,39
75,UP NEXT,40
76,Nuggets: Host Minnesota on Sunday.,41
77,Thunder: Host San Antonio on Sunday.,42
78,___,43
79,More AP NBA: https://apnews.com/NBA and https://twitter.com/AP_Sports,44
80,___,45
81,Follow Cliff Brunt on Twitter @CliffBruntAP,46
82,Filed under:,1
83,OKC face their divisional rivals at home to start the home stretch.,2
84,"Oklahoma City starts the final portion of the season with a tough game against the Denver Nuggets. The Nuggets are one of the few teams who are legitimately fighting for a deep play-off run and the possibility of winning an NBA title. Denver is stingy defensively and will make life difficult for the Thunder, so it is imperative that the offense works to its fullest. ",3
85,A victory against the Nuggets would be a significant season win. There has been a lot of chatter about the Thunder not having a chance in the play-offs — this is the type of game where OKC can prove that they are no push-overs. ,4
86,The game starts at 8:00 (EST) and will be broadcast on ESPN.,5
87,"Despite Oklahoma City having mixed results coming into the All-Star break, the offense in the games prior was impressive. From the eye test, it did not seem like Oklahoma City were doing anything special on that end of the floor, but the numbers paint a different picture.",6
88,"OKC’s offensive rating over the last ten games stands at 115.8, which would rank the Thunder as fifth in the league. This rating is exceptional and it largely stems from the entire team developing a really good comfort level on the court. Four of the starters have played with each other for more than fifty games, developing a chemistry with the Thunder thinking as one brain on the court. ",7
89,"While this offensive efficiency is hugely impressive, I still think that OKC can improve even further by tweaking the offensive scheming on offense. Oklahoma City had a lot of success early in the season by going to Adams in hand-off situations and letting the Kiwi pick out passes. Although hand-offs have become more common in a league where spacing is prioritised, it is still a difficult coverage to defend. The opposing big man may not be confident stepping out towards the perimeter and is forced to defend in an uncomfortable situation which is the ideal situation for the Thunder.",8
90,"Oklahoma City has been proficient from mid-range and a lot of the offense has materialised from this area of the floor. It has been common for Chris Paul to drop into this zone and take elbow jumpers, as has been true for Dennis Schroder. ",9
91,"Against Denver, this is an area which can exploited due to the Nuggets’ defensive scheming. Denver, like most teams in the league, scheme so that the least efficient shot is sacrificed. In practice, this means that the three-point shot and the layup are defended really tightly while the mid-range is defended loosely. Oklahoma City are not like most other teams in the league, they have at least two players who can cook from this area and can punish Denver’s tactical decisions. One Thunder player getting hot from the mid-range area will cause Denver’s scheming to be adjusted on the fly which will create open opportunities elsewhere. Looking further ahead to the play-offs, it is valuable for the Thunder to have guys who can knock down looks from mid-range because the game changes. ",10
92,"Defences key in and take away good looks; you need players who can score effectively on ‘bad looks’. The best example of the mid-range’s value was last season in the Eastern Conference Semi-Finals, Kawhi Leonard carried the Raptors’ offence when Philly had taken away easy shots. ",11
93,"Oklahoma City ran a lot of post-up situations for Russell Westbrook last season and it was one of the few efficient looks which Westbrook managed to generate. The post-up worked for Russ because he was too strong and too fast for the defense to stop. The same evolution occurred in Houston, Mike D’Antoni had experimented with the post-up in regards to Chris Paul. D’Antoni looked at using this action as a way of masking Paul’s inability to create separation from the defender, it slowed the game down and gave him an opportunity to beat his man using his intelligence and ball-handling skills. ",12
94,"For the Thunder, Paul has not posted up all season, but it could be an interesting wrinkle for Donovan to add to the offense. Paul is a smaller guard but he is powerfully built in the lower body which allows him to bump defenders and create space to get a layup off. Paul is also comfortable shooting fadeaways out of this situation which adds another variation to this particular play. ",13
95,"Jerami Grant will return to Oklahoma City for the first time since his trade in the summer. Grant spent three seasons with the Thunder in which he developed from a hyper-athlete to a forward who was defensively versatile. Grant has settled nicely into a bench role for Nuggets as another rangy, mobile defender who can be relied upon to space the floor effectively.",14
96,Michael Porter Jr was taken by the Nuggets at the end of the lottery by the Nuggets in 2018. There were huge concerns about Porter’s injury history and whether he could have a strong career at the NBA level. MPJ was expected to be a top five pick before his injury but the concerns caused him to slide down the draft boards into the perfect situation. ,15
97,"Denver already had more than enough wing talent, which allowed Porter to develop slowly and get healthy. He has emerged this season as an important part of the Nuggets’ rotation, he is a big wing to score the ball effectively while being able to cover multiple positions on defence. This has been a weakness in the Nuggets’ roster for a few seasons especially when it comes to defending guys like Paul George, LeBron James or Kevin Durant. The match-up on defense was often Will Barton defending taller, stronger players which was difficult for Denver to manage. Porter’s emergence gives them the length to defend bigger wings.",16
98,"I know that the All-Star game has passed, but I feel like I have to talk about the ending of the game. It was exceptional in my opinion — that final quarter felt like a play-off game with how hard that the players were playing. The most surprising aspect of the game was that defense was actually being played instead of the usual layup line that this game turns into. Kyle Lowry took two charges. When was the last time that this happened in an exhibition game? ",17
99,"The Elam Ending is an innovative idea and I expect the league to look at this idea in more detail. It is common knowledge that Adam Silver would like to have a mid-season tournament like other sports around the league. In football (soccer), most leagues will have a domestic mid-season tournament. In the Bundesliga, the tournament is called the DFB-Pokal trophy. As a football fan, I like this concept but it has to be executed correctly. Early competition rounds can be a little boring and I could see the Elam Ending being used to ensure exciting games throughout the competition.",18
100,Head on over to Stubhub from our WTLC Link to purchase your tickets.,19
101,"Vox Media has affiliate partnerships. These do not influence editorial content, though Vox Media may earn commissions for products purchased via affiliate links.",20
102,,21
103,"OKLAHOMA CITY -- Before training camp, as nine new Oklahoma City Thunder players were getting to know one another while the organization itself was recalibrating to a post-Russell Westbrook world, coach Billy Donovan sat down with the three point guards on the roster and presented a bold plan.",1
104,"They -- being Chris Paul, Shai Gilgeous-Alexander and Dennis Schroder -- are three of Donovan's five best players. And he needed to find a way to play them all as much as possible, which would probably include playing all three of them together.",2
105,Paul is listed at 6-foot-1. Schroder is a generous 6-1. And Gilgeous-Alexander is the giant of the group at 6-5. None of the three is listed at more than 180 pounds. They're all playmakers. They're all scorers. They all thrive with the ball in their hands.,3
106,"""If we moved it, if we shared it and if we played together, it would be really hard to guard,"" Donovan told them. He saw it simplified: Two of the three would always being playing against defenders scrambling to close out on the perimeter.",4
107,"""And you're all really good at that,"" he said.Editor's PicksLowe: Ten NBA things I like and don't like, including the fun version of CP3NBA trade grades: Winners in the Wizards-Nuggets deal1 Related",5
108,"Despite the positional and vertical challenges of it, Donovan wanted to try it. The counterlogic was obvious, and when Donovan floated the idea publicly at media day, it was met with heavy skepticism.",6
109,"""I hoped it would work,"" Paul said, leaning on the word ""hope"" pretty heavily. ""We all have different personalities -- you never know what different guys' goals are and whatnot -- but I was excited about it. The biggest thing was that Billy sat us all down. We met, us three and Billy, and talked about the possibilities of what it could be, and thankfully all of us are giving up a little bit here and there for the success of the team.""",7
110,"Now, Donovan's plan hasn't just been validated 56 games into the season, with a sparkling 34-22 record and fresh off the lineup's dismantling of the Denver Nuggets in crunch time for a 113-101 statement win on Friday. The strategy has redefined the Thunder's season -- and the possibility to hope for something more ahead.",8
111,"The Thunder are the league's undisputed clutch-time maestros, with a league-best plus-27.3 net rating in a league-high 38 games that feature a score within five points in the last five minutes of regulation. They are 25-13 in clutch-time games, with the best offense in the clutch at an absurd 123.5 points per 100 possessions. Paul leads the league in clutch scoring (128 points), Gilgeous-Alexander is 12th (79) and Schroder is 27th (62). When that trio is on the floor, OKC outscores opponents by 29.6 points per 100 possessions.",9
112,"OKC's preferred closing group -- the three guards, plus center Steven Adams and power forward Danilo Gallinari -- is the best lineup in the NBA by net rating with a minimum 150 minutes (plus-30.2 per 100 in 159 minutes). And 52.8% of those minutes have come in the fourth quarter.",10
113,"""They've all coexisted, they've all found a way to make each other better,"" Donovan said of the three guards. ""I felt like it could work, but it wouldn't have worked if those guys didn't have the attitude and mentality they had towards it. Really it was them, the way they handled it.""",11
114,"When the Thunder choose to use Chris Paul, Dennis Schroder, Shai Gilgeous-Alexander, Danilo Gallinari and Steven Adams together, it is usually at the end of games -- and they will beat you.",12
115,"Against the Nuggets, it was Paul's midrange mastery that took over. He snaked around screens, weaved through traffic, dribbled in, dribbled out and knocked down shots. It has become almost a formula the Thunder abide by: Get through the first three quarters, keep it close, release the point guard. It is orchestrated by Donovan playing different duo combinations throughout the game, setting up the final few minutes with the three guards finishing it.",13
116,"If the Golden State Warriors had the death lineup, the Thunder have the endgame lineup.",14
117,"""If you guys had mics on all of us, you'd get a chance to see we're all each other's biggest cheerleaders,"" Paul said. ""I've seen teams where guys aren't necessarily rooting for each other. They want you to do bad so they can be in the game. But we're not like that in here, and it's refreshing and nice to see.""",15
118,"According to ESPN Stats & Information research, the point guard trio has played 90 minutes together in clutch time and 373 minutes total -- 47.7% of the time in the fourth quarter; 42.1% of the time in the last five minutes and/or overtime; and 24.1% of the time in the clutch.",16
119,"""It's not like I'm trying to hold it to the fourth,"" Donovan said. ""I just don't want it to be at the expense where we're trying to play that way and the other portions of the game we're not as good. There's a balance you have to find.""",17
120,"The Nuggets themselves are no clutch-time slouches, either. They're 23-12 in clutch-time games, the second-most wins in the league behind Oklahoma City. They found their way to the top tier of the Western Conference with a ground-and-pound approach, playing close games and winning behind timely stops and execution.",18
121,"The Thunder wound up outscoring the Nuggets 35-24 in the fourth quarter. Denver's sloppy finish on Friday was uncharacteristic but also possibly evidence of the rhythm the Nuggets are trying to rediscover. The past two months have included games in which the first priority was to field a playable rotation and the second was to try to win with whatever was cobbled together. Friday's starting lineup of Jamal Murray, Gary Harris, Will Barton, Paul Millsap and All-Star Nikola Jokic returned in Oklahoma City intact for the first time since Jan. 6 because of injuries to everyone except Jokic.",19
122,"The Nuggets weathered the storm behind the pendulous brilliance of Jokic, who took on a more vocal leadership role during the past couple of months. In the face of the recent attrition, Denver entered Friday's game still No. 2 in the West. It might look as if moving is a chore and that he is tucking the ball into bed rather than shooting it, but Jokic is a ruthless tactician.",20
123,"""If you want to sleep on the Nuggets, if you want to sleep on Nikola, keep on sleepin',"" Nuggets coach Michael Malone said of his perception at the lack of appreciation for Jokic's season. ""We're not concerned about any of that stuff. We know who we have. We have an MVP candidate; we have the best center in the NBA. And we're gonna continue to play through and rely on him to lead this team on and off the court.""ESPN Daily podcastMonday through Friday, host Mina Kimes brings you an inside look at the most interesting stories at ESPN, as told by the top reporters and insiders on the planet. Listen
",21
124,"Monday through Friday, host Mina Kimes brings you an inside look at the most interesting stories at ESPN, as told by the top reporters and insiders on the planet. Listen",22
125,"Jokic was his typical fantastic self, scoring 11 of Denver's first 13 points and finishing with a game-high 32 points on 12-of-15 shooting. He is averaging 20.8 points, 10.2 rebounds and 6.9 assists; but since Jan. 7, the production has cranked to 24.3 points, 10.9 rebounds and 7.8 assists.",23
126,"""He's not going to bed at night wondering why no one's not talking about him,"" Malone said. ""He doesn't care. He's reading his book on horses, we're winning games and he's happy. If he's happy, I'm happy.""",24
127,"Jokic and Malone weren't very happy after Friday's game. OKC carved the typically stout Denver defense, and if this was a preview of a possible postseason matchup, it had to give Malone some pause. Those final five minutes are when the Nuggets often do their best work, and in this case, the Thunder outscored them 18-9 in the last 5:31 of the game. With Schroder battling through a tweaked ankle, the three-guard lineup was deployed a little later than usual, but it was on the front end of putting the wraps on another win.",25
128,"The prevailing theme from the Thunder is unselfishness, but it's also about connectivity. The Thunder have had reps in crunch time, and it's obvious to everyone that Paul is good in close games. He produces winning possessions, consistently locating the best possible shot more often than not. But he doesn't monopolize. On Friday, he had his moments, but he also leaned on Gallinari, he gave the ball to Schroder to let him work a mismatch and he had Gilgeous-Alexander bring it up to initiate the offense. The plan is to let whomever is cooking serve the meal and, if needed, help clean the table afterward.",26
129,"""We just want to win,"" Gilgeous-Alexander said. ""And whatever it is in that situation, we're willing to do. We have guys that are unselfish, and that's why it works.""",27
130,"The Houston Rockets have the NBA's attention with their radical small-ball swerve, but the Thunder have been at their gamble since day one. It was borne out of necessity rather than strategy -- like most trendsetting moves -- but they committed to it and have leaned in. It's their not-so-secret weapon and what keeps them as the frisky, dangerous, nobody-wants-to-play-them wild card in the Western Conference playoff bracket.",28
131,"To help make this website better, to improve and personalize your experience and for advertising purposes, are you happy to accept cookies and other technologies?",29
132,"Search Toggle Search Input
",1
133,"The Nuggets got several key players back into their lineup, but it wasn’t enough against a determined Thunder team, falling 113-101 in Oklahoma City. ",2
134,"Denver had a full contingent with Will Barton III, Mason Plumlee and Michael Porter Jr. returning to action after an extended absence due to injury, but the rust from a nine-day All-Star break appeared to be a factor for the Nuggets throughout Friday’s contest. ",3
135,"""It's a convenient excuse, coming off All-Star break, working guys back in. But if I've missed a month or a week, [you can still] defend, rebound and take care of the ball,"" Nuggets head coach Michael Malone told reporters after the game. ""I think there was definitely was a little bit of rust.""    Nikola Jokić led the Nuggets with 32 points, seven rebounds and five assists while Chris Paul helped the Thunder snap a seven-game losing streak to Denver, powering the home team with 29 points and four boards.    The Nuggets would hit just three of their opening nine shots and committed four turnovers in the first seven minutes of the game. Aside from a strong first quarter from Jokić, who had 11 points on 5-of-6 shooting, Denver struggled to find any rhythm offensively. The team shot just 36.4 percent in the first 12 minutes and only connected on two assists. The Thunder would take a 10-point lead after the first quarter, thanks to their second unit with Dennis Schroder and Nerlens Noel combining for 13.    Denver would pick up some momentum in the second quarter though. The Nuggets would use free throws to go on an 8-0 run. Jamal Murray would put his team back in front 37-36 with a three-pointer at the 5:25 mark. When Barton III pushed the score to 42-38, it appeared as if the team would continue to pad its lead. Chris Paul, however, would ensure that both sides went into the break tied at 48 as he hit a bucket at 2.7-second mark.    That moment appeared to spur on Paul, who would torch the Nuggets in the second half. Paul sparked an 11-1 run by Oklahoma City, with the guard scoring 11 in the quarter. Denver would respond with a 10-0 run of its own, thanks to Jokić. The center hit a three, forced a steal and assisted on Gary Harris’ three to bring his team within one. Things would unravel for the Nuggets in the final 12 minutes though.    Steven Adams scored 10 points in the fourth quarter and Paul would chip in another nine, helping the Thunder pad their lead to 12.    The outcome sees Denver lose their first division game of the season. The group will look to get back to winning ways when they host the Timberwolves on Sunday, featuring two former Nuggets in Malik Beasley and Juancho Hernangomez. ",4
136,"""This is our first division loss and my hope is that we'll come out with a much greater sense of urgency against Minnesota on Sunday afternoon, from [players] 1-15,"" Malone said.    Here are the takeaways:    Nikola Jokić continues OKC dominance    The Nuggets couldn’t extend their win streak against Thunder to eight games, but they can’t fault Jokić. During the win streak, which started on Feb. 1, 2018, Jokić averaged 25.6 points against the Nuggets’ Northwest Division rivals. The Serbian continued his hot hand against the Thunder.     When the Nuggets struggled early on, it was Jokić who kept them in the game, scoring five of the team’s seven opening field goals. The 25-year-old scored 19 of his 32 points in the first half, adding five boards and three assists in the first 24 minutes of the game.    Nuggets struggle to find balance   Jokić and Jamal Murray combined for 53 points, but the Nuggets’ inability to get the rest of the team going was the reason why they lost by 12 in Oklahoma City.    Aside from a solid performance from Barton III, who scored 16 points on 50 percent shooting and added nine rebounds and five assists, it was a quiet offensive night for many of Denver’s players. The team had four players who shot under 35 percent, including two starters. That’s not going to get it done against one of the Western Conference’s better teams in the Thunder. ",5
137,"""Other guys need to start stepping up,"" Malone said. ""Step up and help your team in some shape or form.""    Turnovers costly   One of the reasons why the team struggled to find a rhythm was due to carelessness on the ball. Denver conceded 19 turnovers, which the Oklahoma City Thunder scored 25 points from. ",6
138,"""We didn't take care of the ball, that was a huge issue and it happened all night long,"" Malone said. ""Good teams don't beat themselves and that's what we did.""    Again, some of likely was a result of several players working their way back into game action. With 26 games left on the season, it will be an area that will need monitoring. ",7
139, ,8
140,"
  Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
  No portion of NBA.com may be duplicated, redistributed or manipulated in any form.
  This site is operated jointly by NBA and WarnerMedia. To opt out of the sale of your personal information as permitted by the California Consumer 
  Privacy Act, please use the links below to visit each company’s privacy center. If you make a request through the WarnerMedia Privacy Center, 
  it will apply to data controlled jointly by the NBA and WarnerMedia as well as other data controlled by WarnerMedia. If you make a request through 
  the NBA Privacy Center, it will apply to data controlled independently by the NBA.
  NBA Privacy Center  |
  WarnerMedia Privacy Center  |
  Do Not Sell My Personal Information  |
  Terms of Use  |
  Accessibility and Closed Caption  |
  



",9
141,"Search Toggle Search Input
",1
142,"
In 2014, Tubbs was a student at the University of Central Oklahoma and worked part-time waiting tables. Six years later, he is standing in Chicago’s Wintrust Arena, hosting the NBA’s Celebrity All-Star game during the 2020 All-Star Weekend.
 
The Thunder emcee’s journey from 20-year-old server to NBA All-Star host began with a favor and a wrinkled, mustard-stained T-shirt.
 
Tubbs heard from a friend about the Thunder auditions for its game-night entertainment group, the Storm Chasers. The group serves as the interactive hype team throughout home games. At the time, Tubbs was studying radio and television broadcasting with the hopes of one day being an on-air talent. However, the future of waiting tables didn’t include a microphone.
 
“I kind of knew that I wanted to be in front of a microphone in some capacity, but none of my jobs were leading to it at the time,” he said.
 

",2
143,"
On a whim and partly as a favor to the friend who was too nervous to audition alone, Tubbs grabbed the only Thunder shirt he had ¬– a crumpled grey T-shirt with a massive mustard stain through the Thunder logo -- and tested his luck for a Storm Chaser spot. 
 
His lively personality and spritely character easily landed him the spot as a Storm Chaser, but also made a different impression on the NBA team’s Events and Entertainment department. Instead of being a member of the hype team, they thought Tubbs had the makings of an arena emcee. 
 


",3
144,"	
They were right. Tubbs went on to host every Thunder home game for the next six seasons; he also landed a position as a feature reporter for FOX 25 news, his current day job. Even still, the thought of hosting on the national stage was beyond his imagination. 
 
That is, until the Thunder’s annual employee holiday event in December. While hosting the event at a local bowling alley, Tubbs’ boss asked to take his microphone for a moment. Immediately, Tubbs was on alert; nobody takes his mic.
 
His suspicion subsided when John Leach, the team’s Director of Events and Entertainment,  announced that Tubbs would be joining Rumble the Bison and the Thunder’s in-house production team in Chicago to work All-Star weekend. 
 
“I was floored,” Tubbs admitted. “My jaw was literally on the ground.”

",4
145,"	
Fighting off tears, Tubbs ran to the bathroom where he immediately phoned his mom. He would be representing the Thunder on basketball’s biggest stage.
 
“I would like to think I’m an opportunist and whenever a really cool opportunity comes up, I want to take it and just see where it goes from there,” he said. “But to say I would be hosting the celebrity All-Star game alongside some of the most talented people in the world, I would never have imagined that.”
 
Just like any other Thunder home game, Tubbs guided the celebrities and the thousands of fans in the arena through whimsical festivities during the breaks in the game. However, instead of randomly selected Thunder fans, the contestants were national celebrities and instead of limiting the scene exclusively to the fans in the arena, Tubbs was broadcasted live on national television for millions of viewers watching at home.
 
“Seeing these celebrities who I see on TV all the time, I was a little starstruck. I was trying to keep it together, but also carry them through this game that I would carry our fans through in a similar game,” he said. “Treating them just like regular fans, regular players, but of course they’re celebrities, they’re All-Stars, so just trying to stay cool, calm and collected in the moment but also having a blast.”
 


",5
146,Our fam @rumblethebison and @malcolmfox25 out here leading the fun & games at the #NBAAllStar Celebrity Game! pic.twitter.com/ZpqnmSs3gC,6
